status,title,journal_type,write_date,update_date,visit
1,"Sung-Phil Heo, Dong-Hee Noh, Chang Bae Moon, Dong-Sung Kim, &#34;사물인터넷 기반 헬스케어 서비스 기술 동향 Trend of IoT-based Healthcare Service&#34;, Journal of Institute of Embedded Engineering of Korea(대한임베디드공학회논문지), vol. 10, no. 4, pp.221-231, Aug. 2015.(N2 & Medical)",2,8/25/2015 13:03,10/8/2018 11:07,1814
4,"김동성, 이정일 &#34;실시간 혼합 트래픽을 위한 산업용 IEEE 802.15.4 망의 체계적 전송 기법&#34;, 대한전자공학회 논문지 CI편 Vol. 45, No. 6, pp. 18-26, Nov., 2008.",2,2/4/2013 13:17,5/15/2019 11:50,1693
1,"Y. G. Lim, E. S. Lee, and Dong-Seong Kim, &#34;교통류 모델을 이용한 VANET 환경에서의 전송파워 제어기법,&#34; Journal of IEEK-SC, vol. 50, no. 1, pp. 187-196, 2013 (N1)",2,4/29/2013 23:43,1/27/2019 21:55,2008
1,"S. R. Kim, H. G. Lee, and Dong-Seong Kim, &#34;V2V 프로토콜에서 실시간 전송을 위한 동적 CW 할당 기법&#34;, Journal of IEEK-TC, vol. 50, no. 2, pp. 80-87, Feb, 2013",2,10/11/2013 13:12,6/26/2017 13:56,1873
1,"D.-S. Kim and S. K. Huh &#34;Distributed Control Networks of Naval Combat Systems (함정 전투 시스템의 분산제어통신망 기술)&#34;, 한국정보통신학회지, Vol.13, No.2, pp.41-47, 2013.",2,2/17/2014 16:40,7/3/2017 12:51,1983
1,"Young-Kyu Lim, D.S. Kim, &#34;CAN과 RTOS를 내장한 소형 실시간 설계 기법,&#34; Journal of IEEK, Vol. 51, No. 5, pp.207-215, May, 2014",2,8/17/2015 11:48,7/21/2017 14:25,1285
1,"Dong-Hee Noh, D.S. Kim, &#34;BCH 코드를 이용한 함정 분산 제어망을 위한 실시간 고장 노드 탐지 기법 연구&#34; , Journal of IEEK, vol. 51, no. 5, pp.20-28, May, 2014",2,8/17/2015 11:49,7/21/2017 14:26,1564
1,"D.-H. Noh, D.-S. Kim, &#34;마코브 연산 기반의 함정 시스템 내 실시간 제어망의 고장 노드 탐지 기법 연구&#34;, Journal of Institute of Control, Robotics and Systems (제어 로봇 시스템학회 논문지), (IF: 0.2, ISSN: 1976-5622), vol. 20, no. 11, pp.1131-1135, Nov. 2014.(N1&N2)",2,8/17/2015 11:49,10/8/2018 13:15,1637
1,"Hea-Min Lee, D.-S. Kim, &#34;곤충 행동 양식 기반의 애드 혹 네트워크를 위한 존 반경 결정 알고리즘 Insect-Inspired Algorithm for Zone Radius Determination of Ad-hoc Networks&#34;, Journal of Institute of Control, Robotics and Systems (제어 로봇 시스템학회 논문지), (IF: 0.2, ISSN: 1976-5622), vol. 20, no. 10, pp.1079-1084, Oct, 2014.(N1&N2)",2,8/17/2015 11:49,10/8/2018 13:15,1652
1,"K.S. Song, D.S. Kim, Y.S. Choi, &#34;A Design of Message Oriented Management and Analysis Tool for Naval Combat Systems (함정전투시스템을 위한 메세지 지향 모델링 도구 설계)&#34;, Journal of IEEK, Vol.51, No.2, pp. 437-444, 2014.",2,8/17/2015 11:48,7/3/2017 12:52,1423
